Comment,Location,UserId,Compound,Negative,Neutral,Positive,PublishedDate
"I like it!!!\n\nI\u2019ve ordered expensive/fragile/highly precious items off of Amazon, and the one thing I\u2019m always afraid of is it getting damage due to weather or it getting stolen. \n\nWith smaller/cheaper/easily replaceable items I can make due, but something like a new graphics card kind of puts me on the edge when it\u2019s in delivery. \n\nThis is a perfect solution to that. It\u2019s basically a one time P.O box for Amazon!!!",DE,Luciano Martinez,0.9405,5.2,70.3,24.6,2018-11-15 07:30:40
I was curious about these lockers since they\u2019re at Whole Foods and saved about $10 in shipping straight to opt out from the P.O. Box. Either way can\u2019t wait to experience this when my stuff comes in. :),DK,Rachael,0.8402,0.0,76.7,23.3,2018-10-29 22:06:11
He says Lets Go have a Go,DE,GracefulRaven1.1,0.0,0.0,100.0,0.0,2018-10-26 08:09:39
"Nice video but the information is out of date.\nAs of writing this Amazon doesn't charge a fee anymore to non Prime members to use the Amazon locker in the US. \nAlso you only have 3 days to collect your shipment from the locker after delivery, not 5. \nOf course you're in the UK so maybe Amazon's rules are still different there.",DK,420GratefulHippie,0.6731,0.0,89.60000000000002,10.4,2018-10-17 14:31:40
These locker boxes just got installed at my apartment community. Who ever layed the concrete foundation for the locker box row to sit on didn't level it so the whole unit is slanted. Dumb asses\nUpdate: they also can't take rain. They leak,UK,Laserlite 3000,-0.6908,12.5,87.5,0.0,2018-09-29 21:01:29
Brilliant,SE,Brian Westfield,0.5859,0.0,0.0,100.0,2018-08-29 22:11:50
Is this only for small sized items?,US,Kristy B,0.0,0.0,100.0,0.0,2018-08-24 05:41:50
I wish these were the school lockers,DK,T-pose,0.4019,0.0,64.9,35.099999999999994,2018-08-22 22:34:18
it was cheaper than standard delivery,US,Robert k,0.0,0.0,100.0,0.0,2018-08-13 22:04:41
"why do i have to pay tax, i want it delivered to a locker in new york but i have to pay 36 dollar tax",UK,Fortnite Momenten,-0.1655,12.8,82.0,5.2,2018-07-31 21:33:03
Anytime i see a locker delivery on my itinerary i get a huge smile on my face. Locker deliveries take a ton of stress of a driver like myself that makes 150 to 220 stops a day.,MX,Zach Wachs,0.4404,12.0,68.10000000000001,19.9,2018-07-20 06:05:35
Lol great how to video. Thanks!,UK,OhhMyy,0.8777,0.0,22.9,77.10000000000002,2018-07-13 18:23:42
Doing my first locker pickup tomorrow. This video will come in handy :),US,Albert,0.4588,0.0,80.0,20.0,2018-06-27 02:53:36
"Thank you for showing us this.  I wanted to try AmLcker, and I didn't know what to expect.  But, I sent a small item that I just got to a ALkr and can't wait to see how it works.  But, loved your video to make me understand the process.  Good job.  Liked.",SE,Poe Lemic,0.9398,0.0,74.1,25.9,2018-06-21 04:27:20
Is there a way to tell if the locker is indoors?  The onle I used was outside - I would rather pickup inside especially if there is bad weather,DK,John Ambrose,-0.5423,12.7,87.3,0.0,2018-06-09 15:25:44
've got an Amazon locker in my local shopping mall I don't use it though as I'm almost always in wierdly its next to the coach station (yes my local mall has a coach sation),DE,shadowXXe,0.1779,0.0,95.0,5.0,2018-04-01 10:06:07
"I wanted to buy a TV stand, but the lockers look too small for that. Should I just have them deliver to my door instead?",MX,T'was an old username and I'll change it soon.,0.0,0.0,100.0,0.0,2018-03-25 09:47:25
amazing vid made me subscribe,US,paddy barry,0.5859,0.0,51.3,48.7,2018-03-21 19:05:50
Why people don't just get a DropSak for 30 Bucks???,DK,Bronx & Harlem apartment rentals,0.0,0.0,100.0,0.0,2018-03-09 02:10:55
"thanks. i decided to test out Amazon Locker just to be sure it was a  viable option in my area and your vid answered all my questions. The only issue is that I have to call the store and find out their hours during the day as unlike the store you went to, I doubt my local store is open all that early or late (its a college bookstore).",SE,Joe R,0.5267,3.6,86.5,9.9,2018-02-02 07:33:26
Wish we had this where I live.,DK,hei\xf0inn,0.4019,0.0,64.9,35.099999999999994,2017-12-10 04:34:19
with amazon prime do you also have a subscription to their video streaming service? And what are the other advantages?,DE,EaqIe,0.5514,0.0,78.8,21.2,2017-11-27 03:06:15
"Movies, Amazon Music, Free delivery (on selected products), same day/one day delivery, giveaway, and a tons of other advantages.",DE,MegaAgente17,0.7579,0.0,66.7,33.300000000000004,2017-12-07 08:07:23
\U0001f608\U0001f608\U0001f608\U0001f608\U0001f608,GB,Still Monday,0.0,0.0,100.0,0.0,2017-11-21 09:20:05
Your accent reminds me of Mr. Bean for some reason lol I love it though so it's def not meant as an insult,DE,LilMizzLae,0.5719,11.3,64.8,23.9,2017-11-19 03:43:58
Well now that I got my package I'm going to buy me some vodka and get fucked up!,GB,Nomadic Cheese,-0.5562,21.5,68.8,9.6,2017-10-20 18:37:37
I love this video,SE,Amy Russell,0.6369,0.0,32.300000000000004,67.7,2017-10-19 15:52:57
P.o. Box??,SE,meek miLL,0.0,0.0,100.0,0.0,2017-10-16 02:46:21
